,EVID,Mag,StdM,H,Hinf,Hsup
1,1,3,0.1,2,1.5,2.5
2,2,3,0.1,5,4.5,5.5
3,3,3.5,0.1,2,1.5,2.5
4,4,3.5,0.1,5,4.5,5.5
5,5,4,0.1,2,1.5,2.5
6,6,4,0.1,5,4.5,5.5
7,7,4,0.1,10,9.5,10.5
8,8,4.5,0.1,2,1.5,2.5
9,9,4.5,0.1,5,4.5,5.5
10,10,4.5,0.1,10,9.5,10.5
11,11,4.5,0.1,15,14.5,15.5
12,12,5,0.1,2,1.5,2.5
13,13,5,0.1,5,4.5,5.5
14,14,5,0.1,10,9.5,10.5
15,15,5,0.1,15,14.5,15.5
16,16,5,0.1,20,19.5,20.5
17,17,5.5,0.1,2,1.5,2.5
18,18,5.5,0.1,5,4.5,5.5
19,19,5.5,0.1,10,9.5,10.5
20,20,5.5,0.1,15,14.5,15.5
21,21,5.5,0.1,20,19.5,20.5
22,22,6,0.1,2,1.5,2.5
23,23,6,0.1,5,4.5,5.5
24,24,6,0.1,10,9.5,10.5
25,25,6,0.1,15,14.5,15.5
26,26,6,0.1,20,19.5,20.5
27,27,3,0.1,2,1.5,2.5
28,28,3,0.1,5,4.5,5.5
29,29,3,0.1,10,9.5,10.5
30,30,3,0.1,15,14.5,15.5
31,31,3,0.1,20,19.5,20.5
32,32,3.5,0.1,2,1.5,2.5
33,33,3.5,0.1,5,4.5,5.5
34,34,3.5,0.1,10,9.5,10.5
35,35,3.5,0.1,15,14.5,15.5
36,36,3.5,0.1,20,19.5,20.5
37,37,4,0.1,2,1.5,2.5
38,38,4,0.1,5,4.5,5.5
39,39,4,0.1,10,9.5,10.5
40,40,4,0.1,15,14.5,15.5
41,41,4,0.1,20,19.5,20.5
42,42,4.5,0.1,2,1.5,2.5
43,43,4.5,0.1,5,4.5,5.5
44,44,4.5,0.1,10,9.5,10.5
45,45,4.5,0.1,15,14.5,15.5
46,46,4.5,0.1,20,19.5,20.5
47,47,5,0.1,2,1.5,2.5
48,48,5,0.1,5,4.5,5.5
49,49,5,0.1,10,9.5,10.5
50,50,5,0.1,15,14.5,15.5
51,51,5,0.1,20,19.5,20.5
52,52,5.5,0.1,2,1.5,2.5
53,53,5.5,0.1,5,4.5,5.5
54,54,5.5,0.1,10,9.5,10.5
55,55,5.5,0.1,15,14.5,15.5
56,56,5.5,0.1,20,19.5,20.5
57,57,6,0.1,2,1.5,2.5
58,58,6,0.1,5,4.5,5.5
59,59,6,0.1,10,9.5,10.5
60,60,6,0.1,15,14.5,15.5
61,61,6,0.1,20,19.5,20.5
