,EVID,Depi,Hypo,I,Io,QIo,StdI,StdlogR,Ndata,RegID
0,1.0,1.0,2.23606797749979,5.532162990894362,5.73567401821128,0.5,0.25,1.2,10.0,101.0
1,1.0,1.064811486234934,2.2657942318793753,5.508074039181942,5.73567401821128,0.5,0.25,1.2,10.0,101.0
2,1.0,1.1338235012178493,2.2990336517576035,5.481509621410297,5.73567401821128,0.5,0.25,1.2,10.0,101.0
3,1.0,1.2073082874598748,2.3361492462959843,5.452297545141353,5.73567401821128,0.5,0.25,1.2,10.0,101.0
4,1.0,1.2855557319139024,2.377530975583008,5.420270027882579,5.73567401821128,0.5,0.25,1.2,10.0,101.0
5,1.0,1.3688745095370811,2.4235959693934928,5.385267069433093,5.73567401821128,0.5,0.25,1.2,10.0,101.0
6,1.0,1.4575933009692958,2.4747885224864303,5.347140008592227,5.73567401821128,0.5,0.25,1.2,10.0,101.0
7,1.0,1.5520620891311996,2.5315798878404574,5.30575512560911,5.73567401821128,0.5,0.25,1.2,10.0,101.0
8,1.0,1.6526535398566895,2.5944679074524792,5.2609971273485385,5.73567401821128,0.5,0.25,1.2,10.0,101.0
9,1.0,1.7597644720062264,2.6639765383605303,5.212772338127561,5.73567401821128,0.5,0.25,1.2,10.0,101.0
10,1.0,1.873817422860384,2.7406553475793216,5.1610114189332235,5.73567401821128,0.5,0.25,1.2,10.0,101.0
11,1.0,1.9952623149688797,2.8250790618202126,5.105671453282128,5.73567401821128,0.5,0.25,1.2,10.0,101.0
12,1.0,2.124578231030568,2.917847264640317,5.046737269370441,5.73567401821128,0.5,0.25,1.2,10.0,101.0
13,1.0,2.2622753038060464,3.0195843340120074,4.984221913173066,5.73567401821128,0.5,0.25,1.2,10.0,101.0
14,1.0,2.4088967285183034,3.1309397069675717,4.918166241454594,5.73567401821128,0.5,0.25,1.2,10.0,101.0
15,1.0,2.5650209056800453,3.2525885455396413,4.848637661408025,5.73567401821128,0.5,0.25,1.2,10.0,101.0
16,1.0,2.731263722800846,3.385232861043378,4.775728098419224,5.73567401821128,0.5,0.25,1.2,10.0,101.0
17,1.0,2.908280983975128,3.5296031337462486,4.6995513193419285,5.73567401821128,0.5,0.25,1.2,10.0,101.0
18,1.0,3.096770996935353,3.686460444309688,4.620239771190857,5.73567401821128,0.5,0.25,1.2,10.0,101.0
19,1.0,3.2974773277759715,3.856599114141443,4.537941111932938,5.73567401821128,0.5,0.25,1.2,10.0,101.0
20,1.0,3.511191734215132,4.040849835668317,4.452814610957002,5.73567401821128,0.5,0.25,1.2,10.0,101.0
21,1.0,3.73875728896543,4.240083261657975,4.365027583716415,5.73567401821128,0.5,0.25,1.2,10.0,101.0
22,1.0,3.981071705534973,4.455214015578953,4.274752001282648,5.73567401821128,0.5,0.25,1.2,10.0,101.0
23,1.0,4.239090879578539,4.6872050824906255,4.182161385138077,5.73567401821128,0.5,0.25,1.2,10.0,101.0
24,1.0,4.513832659768977,4.937072541536844,4.087428064490533,5.73567401821128,0.5,0.25,1.2,10.0,101.0
25,1.0,4.806380863064391,5.205890605922449,3.9907208411809703,5.73567401821128,0.5,0.25,1.2,10.0,101.0
26,1.0,5.11788955021074,5.494796943305211,3.8922030784748842,5.73567401821128,0.5,0.25,1.2,10.0,101.0
27,1.0,5.449587578346137,5.8049982578864325,3.792031206290635,5.73567401821128,0.5,0.25,1.2,10.0,101.0
28,1.0,5.802783448666185,6.137776124307095,3.6903536174191944,5.73567401821128,0.5,0.25,1.2,10.0,101.0
29,1.0,6.178870468273718,6.494493072111562,3.5873099169851113,5.73567401821128,0.5,0.25,1.2,10.0,101.0
30,1.0,6.579332246575681,6.876598927582632,3.4830304802256427,5.73567401821128,0.5,0.25,1.2,10.0,101.0
31,1.0,7.00574854790968,7.285637426920076,3.377636270763694,5.73567401821128,0.5,0.25,1.2,10.0,101.0
32,1.0,7.459801523487937,7.7232531209221,3.2712388719467578,5.73567401821128,0.5,0.25,1.2,10.0,101.0
33,1.0,7.943282347242816,8.19119859654369,3.163940686566147,5.73567401821128,0.5,0.25,1.2,10.0,101.0
34,1.0,8.45809828175134,8.691342045033378,3.055835264513376,5.73567401821128,0.5,0.25,1.2,10.0,101.0
35,1.0,9.006280202112785,9.225675209921967,2.947007722978662,5.73567401821128,0.5,0.25,1.2,10.0,101.0
36,1.0,9.58999060745998,9.796321751104882,2.8375352291166545,5.73567401821128,0.5,0.25,1.2,10.0,101.0
37,1.0,10.211532151708521,10.405546063776608,2.727487520315444,5.73567401821128,0.5,0.25,1.2,10.0,101.0
38,1.0,10.873356727196562,11.05576259318509,2.616927442055653,5.73567401821128,0.5,0.25,1.2,10.0,101.0
39,1.0,11.578075137048792,11.749545688202051,2.505911487691673,5.73567401821128,0.5,0.25,1.2,10.0,101.0
40,1.0,12.328467394420665,12.489640038659779,2.3944903282602814,5.73567401821128,0.5,0.25,1.2,10.0,101.0
41,1.0,13.12749368925199,13.278971743374967,2.282709323612922,5.73567401821128,0.5,0.25,1.2,10.0,101.0
42,1.0,13.978306065792133,14.120660057835863,2.170609008803698,5.73567401821128,0.5,0.25,1.2,10.0,101.0
43,1.0,14.884260856962918,15.018029872726931,2.058225551794729,5.73567401821128,0.5,0.25,1.2,10.0,101.0
44,1.0,15.848931924611142,15.974624976848697,1.9455911802240422,5.73567401821128,0.5,0.25,1.2,10.0,101.0
45,1.0,16.876124757881477,16.994222160592702,1.83273457628224,5.73567401821128,0.5,0.25,1.2,10.0,101.0
46,1.0,17.96989148532595,18.08084621897963,1.7196812397247525,5.73567401821128,0.5,0.25,1.2,10.0,101.0
47,1.0,19.134546859970413,19.238785916382653,1.60645381976365,5.73567401821128,0.5,0.25,1.2,10.0,101.0
48,1.0,20.37468528039708,20.47261097845679,1.4930724170879008,5.73567401821128,0.5,0.25,1.2,10.0,101.0
49,1.0,21.695198914988655,21.78719018049195,1.379554857597574,5.73567401821128,0.5,0.25,1.2,10.0,101.0
50,1.0,23.101297000831604,23.187710605418363,1.2659169396431151,5.73567401821128,0.5,0.25,1.2,10.0,101.0
51,1.0,24.59852639341013,24.679698149031214,1.1521726566664707,5.73567401821128,0.5,0.25,1.2,10.0,101.0
52,1.0,26.192793448156287,26.269039354680995,1.0383343971715835,5.73567401821128,0.5,0.25,1.2,10.0,101.0
0,2.0,1.0,5.0990195135927845,4.028555969261284,4.064325981788722,0.5,0.25,1.2,10.0,101.0
1,2.0,1.064811486234934,5.11212514530091,4.023873797230225,4.064325981788722,0.5,0.25,1.2,10.0,101.0
2,2.0,1.1338235012178493,5.126944092918695,4.018593956965074,4.064325981788722,0.5,0.25,1.2,10.0,101.0
3,2.0,1.2073082874598748,5.143694518628541,4.0126442937441045,4.064325981788722,0.5,0.25,1.2,10.0,101.0
4,2.0,1.2855557319139024,5.162620801478324,4.00594504680795,4.064325981788722,0.5,0.25,1.2,10.0,101.0
5,2.0,1.3688745095370811,5.183996279209736,3.9984083391711907,4.064325981788722,0.5,0.25,1.2,10.0,101.0
