,EVID,Mag,StdM,H,Hinf,Hsup
1,1,3,0.2,2,1.5,2.5
2,2,3,0.3,5,4.5,5.5
3,3,3.5,0.1,2,1.5,2.5
4,4,3.5,0.1,5,4.5,5.5
5,5,3.5,0.1,10,9.5,10.5
6,6,4,0.1,2,1.5,2.5
7,7,4,0.1,5,4.5,5.5
8,8,4,0.1,10,9.5,10.5
9,9,4,0.1,15,14.5,15.5
10,10,4,0.1,20,19.5,20.5
11,11,4.5,0.1,2,1.5,2.5
12,12,4.5,0.1,5,4.5,5.5
13,13,4.5,0.1,10,9.5,10.5
14,14,4.5,0.1,15,14.5,15.5
15,15,4.5,0.1,20,19.5,20.5
16,16,5,0.1,2,1.5,2.5
17,17,5,0.1,5,4.5,5.5
18,18,5,0.1,10,9.5,10.5
19,19,5,0.1,15,14.5,15.5
20,20,5,0.1,20,19.5,20.5
21,21,5.5,0.1,2,1.5,2.5
22,22,5.5,0.1,5,4.5,5.5
23,23,5.5,0.1,10,9.5,10.5
24,24,5.5,0.2,15,14.5,15.5
25,25,5.5,0.4,20,19.5,20.5
26,26,6,0.1,2,1.5,2.5
27,27,6,0.1,5,4.5,5.5
28,28,6,0.1,10,9.5,10.5
29,29,6,0.1,15,14.5,15.5
30,30,6,0.05,20,19.5,20.5
