,EVID,Depi,Hypo,I,Io,QIo,StdI,StdlogR,Ndata
0,1.0,1.0,2.23606797749979,5.776802492411968,5.9463950151760665,0.5,0.25,1.2,10.0
1,1.0,1.064811486234934,2.2657942318793753,5.7567283659849515,5.9463950151760665,0.5,0.25,1.2,10.0
2,1.0,1.1338235012178493,2.2990336517576035,5.734591351175248,5.9463950151760665,0.5,0.25,1.2,10.0
3,1.0,1.2073082874598748,2.3361492462959843,5.710247954284461,5.9463950151760665,0.5,0.25,1.2,10.0
4,1.0,1.2855557319139024,2.377530975583008,5.683558356568817,5.9463950151760665,0.5,0.25,1.2,10.0
5,1.0,1.3688745095370811,2.4235959693934928,5.654389224527577,5.9463950151760665,0.5,0.25,1.2,10.0
6,1.0,1.4575933009692958,2.4747885224864303,5.6226166738268555,5.9463950151760665,0.5,0.25,1.2,10.0
7,1.0,1.5520620891311996,2.5315798878404574,5.588129271340925,5.9463950151760665,0.5,0.25,1.2,10.0
8,1.0,1.6526535398566895,2.5944679074524792,5.550830939457116,5.9463950151760665,0.5,0.25,1.2,10.0
9,1.0,1.7597644720062264,2.6639765383605303,5.510643615106301,5.9463950151760665,0.5,0.25,1.2,10.0
10,1.0,1.873817422860384,2.7406553475793216,5.467509515777687,5.9463950151760665,0.5,0.25,1.2,10.0
11,1.0,1.9952623149688797,2.8250790618202126,5.421392877735107,5.9463950151760665,0.5,0.25,1.2,10.0
12,1.0,2.124578231030568,2.917847264640317,5.372281057808701,5.9463950151760665,0.5,0.25,1.2,10.0
13,1.0,2.2622753038060464,3.0195843340120074,5.320184927644221,5.9463950151760665,0.5,0.25,1.2,10.0
14,1.0,2.4088967285183034,3.1309397069675717,5.265138534545496,5.9463950151760665,0.5,0.25,1.2,10.0
15,1.0,2.5650209056800453,3.2525885455396413,5.207198051173355,5.9463950151760665,0.5,0.25,1.2,10.0
16,1.0,2.731263722800846,3.385232861043378,5.14644008201602,5.9463950151760665,0.5,0.25,1.2,10.0
17,1.0,2.908280983975128,3.5296031337462486,5.082959432784941,5.9463950151760665,0.5,0.25,1.2,10.0
18,1.0,3.096770996935353,3.686460444309688,5.016866475992381,5.9463950151760665,0.5,0.25,1.2,10.0
19,1.0,3.2974773277759715,3.856599114141443,4.948284259944115,5.9463950151760665,0.5,0.25,1.2,10.0
20,1.0,3.511191734215132,4.040849835668317,4.877345509130835,5.9463950151760665,0.5,0.25,1.2,10.0
21,1.0,3.73875728896543,4.240083261657975,4.804189653097013,5.9463950151760665,0.5,0.25,1.2,10.0
22,1.0,3.981071705534973,4.455214015578953,4.728960001068874,5.9463950151760665,0.5,0.25,1.2,10.0
23,1.0,4.239090879578539,4.6872050824906255,4.651801154281731,5.9463950151760665,0.5,0.25,1.2,10.0
24,1.0,4.513832659768977,4.937072541536844,4.572856720408778,5.9463950151760665,0.5,0.25,1.2,10.0
