,EVID,Depi,Hypo,I,Io,QIo,StdI,StdlogR,Ndata,RegID
0,1.0,1.0,2.23606797749979,5.776802492411968,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
1,1.0,1.064811486234934,2.2657942318793753,5.7567283659849515,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
2,1.0,1.1338235012178493,2.2990336517576035,5.734591351175248,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
3,1.0,1.2073082874598748,2.3361492462959843,5.710247954284461,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
4,1.0,1.2855557319139024,2.377530975583008,5.683558356568817,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
5,1.0,1.3688745095370811,2.4235959693934928,5.654389224527577,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
6,1.0,1.4575933009692958,2.4747885224864303,5.6226166738268555,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
7,1.0,1.5520620891311996,2.5315798878404574,5.588129271340925,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
8,1.0,1.6526535398566895,2.5944679074524792,5.550830939457116,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
9,1.0,1.7597644720062264,2.6639765383605303,5.510643615106301,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
10,1.0,1.873817422860384,2.7406553475793216,5.467509515777687,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
11,1.0,1.9952623149688797,2.8250790618202126,5.421392877735107,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
12,1.0,2.124578231030568,2.917847264640317,5.372281057808701,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
13,1.0,2.2622753038060464,3.0195843340120074,5.320184927644221,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
14,1.0,2.4088967285183034,3.1309397069675717,5.265138534545496,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
15,1.0,2.5650209056800453,3.2525885455396413,5.207198051173355,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
16,1.0,2.731263722800846,3.385232861043378,5.14644008201602,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
17,1.0,2.908280983975128,3.5296031337462486,5.082959432784941,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
18,1.0,3.096770996935353,3.686460444309688,5.016866475992381,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
19,1.0,3.2974773277759715,3.856599114141443,4.948284259944115,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
20,1.0,3.511191734215132,4.040849835668317,4.877345509130835,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
21,1.0,3.73875728896543,4.240083261657975,4.804189653097013,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
22,1.0,3.981071705534973,4.455214015578953,4.728960001068874,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
23,1.0,4.239090879578539,4.6872050824906255,4.651801154281731,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
24,1.0,4.513832659768977,4.937072541536844,4.572856720408778,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
25,1.0,4.806380863064391,5.205890605922449,4.492267367650809,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
26,1.0,5.11788955021074,5.494796943305211,4.410169232062404,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
27,1.0,5.449587578346137,5.8049982578864325,4.326692671908862,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
28,1.0,5.802783448666185,6.137776124307095,4.241961347849329,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
29,1.0,6.178870468273718,6.494493072111562,4.156091597487593,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
30,1.0,6.579332246575681,6.876598927582632,4.069192066854702,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
31,1.0,7.00574854790968,7.285637426920076,3.981363558969745,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
32,1.0,7.459801523487937,7.7232531209221,3.892699059955632,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
33,1.0,7.943282347242816,8.19119859654369,3.803283905471789,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
34,1.0,8.45809828175134,8.691342045033378,3.713196053761147,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
35,1.0,9.006280202112785,9.225675209921967,3.622506435815552,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
36,1.0,9.58999060745998,9.796321751104882,3.5312793575972123,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
37,1.0,10.211532151708521,10.405546063776608,3.4395729335962035,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
38,1.0,10.873356727196562,11.05576259318509,3.3474395350463784,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
39,1.0,11.578075137048792,11.749545688202051,3.254926239743061,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
40,1.0,12.328467394420665,12.489640038659779,3.1620752735502347,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
41,1.0,13.12749368925199,13.278971743374967,3.068924436344102,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
42,1.0,13.978306065792133,14.120660057835863,2.975507507336415,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
43,1.0,14.884260856962918,15.018029872726931,2.881854626495608,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
44,1.0,15.848931924611142,15.974624976848697,2.787992650186702,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
45,1.0,16.876124757881477,16.994222160592702,2.6939454802352003,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
46,1.0,17.96989148532595,18.08084621897963,2.5997343664372936,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
47,1.0,19.134546859970413,19.238785916382653,2.505378183136375,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
48,1.0,20.37468528039708,20.47261097845679,2.410893680906584,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
49,1.0,21.695198914988655,21.78719018049195,2.316295714664645,5.9463950151760665,0.5,0.25,1.2,10.0,101.0
