,EVID,Mag,StdM,H,Hinf,Hsup
1,1,3,0.1,2,1.5,2.5
2,2,3,0.1,5,4.5,5.5
3,3,3.5,0.1,2,1.5,2.5
4,4,3.5,0.1,5,4.5,5.5
5,5,3.5,0.1,10,9.5,10.5
6,6,4,0.1,2,1.5,2.5
7,7,4,0.1,5,4.5,5.5
8,8,4,0.1,10,9.5,10.5
9,9,4,0.1,15,14.5,15.5
10,10,4,0.1,20,19.5,20.5
11,11,4.5,0.1,2,1.5,2.5
12,12,4.5,0.1,5,4.5,5.5
13,13,4.5,0.1,10,9.5,10.5
14,14,4.5,0.1,15,14.5,15.5
15,15,4.5,0.1,20,19.5,20.5
16,16,5,0.1,2,1.5,2.5
17,17,5,0.1,5,4.5,5.5
18,18,5,0.1,10,9.5,10.5
19,19,5,0.1,15,14.5,15.5
20,20,5,0.1,20,19.5,20.5
21,21,5.5,0.1,2,1.5,2.5
22,22,5.5,0.1,5,4.5,5.5
23,23,5.5,0.1,10,9.5,10.5
24,24,5.5,0.1,15,14.5,15.5
25,25,5.5,0.1,20,19.5,20.5
26,26,6,0.1,2,1.5,2.5
27,27,6,0.1,5,4.5,5.5
28,28,6,0.1,10,9.5,10.5
29,29,6,0.1,15,14.5,15.5
30,30,6,0.1,20,19.5,20.5
31,31,3,0.1,2,1.5,2.5
32,32,3,0.1,5,4.5,5.5
33,33,3,0.1,10,9.5,10.5
34,34,3,0.1,15,14.5,15.5
35,35,3,0.1,20,19.5,20.5
36,36,3.5,0.1,2,1.5,2.5
37,37,3.5,0.1,5,4.5,5.5
38,38,3.5,0.1,10,9.5,10.5
39,39,3.5,0.1,15,14.5,15.5
40,40,3.5,0.1,20,19.5,20.5
41,41,4,0.1,2,1.5,2.5
42,42,4,0.1,5,4.5,5.5
43,43,4,0.1,10,9.5,10.5
44,44,4,0.1,15,14.5,15.5
45,45,4,0.1,20,19.5,20.5
46,46,4.5,0.1,2,1.5,2.5
47,47,4.5,0.1,5,4.5,5.5
48,48,4.5,0.1,10,9.5,10.5
49,49,4.5,0.1,15,14.5,15.5
50,50,4.5,0.1,20,19.5,20.5
51,51,5,0.1,2,1.5,2.5
52,52,5,0.1,5,4.5,5.5
53,53,5,0.1,10,9.5,10.5
54,54,5,0.1,15,14.5,15.5
55,55,5,0.1,20,19.5,20.5
56,56,5.5,0.1,2,1.5,2.5
57,57,5.5,0.1,5,4.5,5.5
58,58,5.5,0.1,10,9.5,10.5
59,59,5.5,0.1,15,14.5,15.5
60,60,5.5,0.1,20,19.5,20.5
61,61,6,0.1,2,1.5,2.5
62,62,6,0.1,5,4.5,5.5
63,63,6,0.1,10,9.5,10.5
64,64,6,0.1,15,14.5,15.5
65,65,6,0.1,20,19.5,20.5
66,66,3,0.1,2,1.5,2.5
67,67,3.5,0.1,2,1.5,2.5
68,68,3.5,0.1,5,4.5,5.5
69,69,4,0.1,2,1.5,2.5
70,70,4,0.1,5,4.5,5.5
71,71,4,0.1,10,9.5,10.5
72,72,4.5,0.1,2,1.5,2.5
73,73,4.5,0.1,5,4.5,5.5
74,74,4.5,0.1,10,9.5,10.5
75,75,4.5,0.1,15,14.5,15.5
76,76,4.5,0.1,20,19.5,20.5
77,77,5,0.1,2,1.5,2.5
78,78,5,0.1,5,4.5,5.5
79,79,5,0.1,10,9.5,10.5
80,80,5,0.1,15,14.5,15.5
81,81,5,0.1,20,19.5,20.5
82,82,5.5,0.1,2,1.5,2.5
83,83,5.5,0.1,5,4.5,5.5
84,84,5.5,0.1,10,9.5,10.5
85,85,5.5,0.1,15,14.5,15.5
86,86,5.5,0.1,20,19.5,20.5
87,87,6,0.1,2,1.5,2.5
88,88,6,0.1,5,4.5,5.5
89,89,6,0.1,10,9.5,10.5
90,90,6,0.1,15,14.5,15.5
91,91,6,0.1,20,19.5,20.5
92,92,3,0.1,2,1.5,2.5
93,93,3,0.1,5,4.5,5.5
94,94,3,0.1,10,9.5,10.5
95,95,3.5,0.1,2,1.5,2.5
96,96,3.5,0.1,5,4.5,5.5
97,97,3.5,0.1,10,9.5,10.5
98,98,3.5,0.1,15,14.5,15.5
99,99,3.5,0.1,20,19.5,20.5
100,100,4,0.1,2,1.5,2.5
101,101,4,0.1,5,4.5,5.5
102,102,4,0.1,10,9.5,10.5
103,103,4,0.1,15,14.5,15.5
104,104,4,0.1,20,19.5,20.5
105,105,4.5,0.1,2,1.5,2.5
106,106,4.5,0.1,5,4.5,5.5
107,107,4.5,0.1,10,9.5,10.5
108,108,4.5,0.1,15,14.5,15.5
109,109,4.5,0.1,20,19.5,20.5
110,110,5,0.1,2,1.5,2.5
111,111,5,0.1,5,4.5,5.5
112,112,5,0.1,10,9.5,10.5
113,113,5,0.1,15,14.5,15.5
114,114,5,0.1,20,19.5,20.5
115,115,5.5,0.1,2,1.5,2.5
116,116,5.5,0.1,5,4.5,5.5
117,117,5.5,0.1,10,9.5,10.5
118,118,5.5,0.1,15,14.5,15.5
119,119,5.5,0.1,20,19.5,20.5
120,120,6,0.1,2,1.5,2.5
121,121,6,0.1,5,4.5,5.5
122,122,6,0.1,10,9.5,10.5
123,123,6,0.1,15,14.5,15.5
124,124,6,0.1,20,19.5,20.5
