,EVID,Depi,Hypo,I,Io,QIo,StdI,StdlogR,Ndata
0,1.0,1.0,2.23606797749979,5.774566424434468,5.944395015176067,0.5,0.25,1.2,10.0
1,1.0,1.064811486234934,2.2657942318793753,5.754462571753072,5.944395015176067,0.5,0.25,1.2,10.0
2,1.0,1.1338235012178493,2.2990336517576035,5.73229231752349,5.944395015176067,0.5,0.25,1.2,10.0
3,1.0,1.2073082874598748,2.3361492462959843,5.707911805038165,5.944395015176067,0.5,0.25,1.2,10.0
4,1.0,1.2855557319139024,2.377530975583008,5.681180825593234,5.944395015176067,0.5,0.25,1.2,10.0
5,1.0,1.3688745095370811,2.4235959693934928,5.651965628558184,5.944395015176067,0.5,0.25,1.2,10.0
6,1.0,1.4575933009692958,2.4747885224864303,5.620141885304369,5.944395015176067,0.5,0.25,1.2,10.0
7,1.0,1.5520620891311996,2.5315798878404574,5.585597691453085,5.944395015176067,0.5,0.25,1.2,10.0
8,1.0,1.6526535398566895,2.5944679074524792,5.5482364715496635,5.944395015176067,0.5,0.25,1.2,10.0
9,1.0,1.7597644720062264,2.6639765383605303,5.5079796385679405,5.944395015176067,0.5,0.25,1.2,10.0
10,1.0,1.873817422860384,2.7406553475793216,5.464768860430108,5.944395015176067,0.5,0.25,1.2,10.0
11,1.0,1.9952623149688797,2.8250790618202126,5.418567798673287,5.944395015176067,0.5,0.25,1.2,10.0
12,1.0,2.124578231030568,2.917847264640317,5.36936321054406,5.944395015176067,0.5,0.25,1.2,10.0
13,1.0,2.2622753038060464,3.0195843340120074,5.317165343310209,5.944395015176067,0.5,0.25,1.2,10.0
14,1.0,2.4088967285183034,3.1309397069675717,5.262007594838528,5.944395015176067,0.5,0.25,1.2,10.0
15,1.0,2.5650209056800453,3.2525885455396413,5.203945462627816,5.944395015176067,0.5,0.25,1.2,10.0
16,1.0,2.731263722800846,3.385232861043378,5.143054849154977,5.944395015176067,0.5,0.25,1.2,10.0
17,1.0,2.908280983975128,3.5296031337462486,5.079429829651195,5.944395015176067,0.5,0.25,1.2,10.0
18,1.0,3.096770996935353,3.686460444309688,5.0131800155480715,5.944395015176067,0.5,0.25,1.2,10.0
19,1.0,3.2974773277759715,3.856599114141443,4.944427660829974,5.944395015176067,0.5,0.25,1.2,10.0
20,1.0,3.511191734215132,4.040849835668317,4.873304659295167,5.944395015176067,0.5,0.25,1.2,10.0
21,1.0,3.73875728896543,4.240083261657975,4.799949569835355,5.944395015176067,0.5,0.25,1.2,10.0
22,1.0,3.981071705534973,4.455214015578953,4.724504787053295,5.944395015176067,0.5,0.25,1.2,10.0
23,1.0,4.239090879578539,4.6872050824906255,4.647113949199241,5.944395015176067,0.5,0.25,1.2,10.0
24,1.0,4.513832659768977,4.937072541536844,4.567919647867241,5.944395015176067,0.5,0.25,1.2,10.0
25,1.0,4.806380863064391,5.205890605922449,4.487061477044887,5.944395015176067,0.5,0.25,1.2,10.0
26,1.0,5.11788955021074,5.494796943305211,4.404674435119099,5.944395015176067,0.5,0.25,1.2,10.0
27,1.0,5.449587578346137,5.8049982578864325,4.320887673650976,5.944395015176067,0.5,0.25,1.2,10.0
28,1.0,5.802783448666185,6.137776124307095,4.235823571725022,5.944395015176067,0.5,0.25,1.2,10.0
29,1.0,6.178870468273718,6.494493072111562,4.149597104415482,5.944395015176067,0.5,0.25,1.2,10.0
30,1.0,6.579332246575681,6.876598927582632,4.06231546792712,5.944395015176067,0.5,0.25,1.2,10.0
31,1.0,7.00574854790968,7.285637426920076,3.974077921542825,5.944395015176067,0.5,0.25,1.2,10.0
32,1.0,7.459801523487937,7.7232531209221,3.88497580683471,5.944395015176067,0.5,0.25,1.2,10.0
33,1.0,7.943282347242816,8.19119859654369,3.7950927068752454,5.944395015176067,0.5,0.25,1.2,10.0
34,1.0,8.45809828175134,8.691342045033378,3.7045047117161136,5.944395015176067,0.5,0.25,1.2,10.0
35,1.0,9.006280202112785,9.225675209921967,3.61328076060563,5.944395015176067,0.5,0.25,1.2,10.0
36,1.0,9.58999060745998,9.796321751104882,3.5214830358461073,5.944395015176067,0.5,0.25,1.2,10.0
37,1.0,10.211532151708521,10.405546063776608,3.429167387532427,5.944395015176067,0.5,0.25,1.2,10.0
38,1.0,10.873356727196562,11.05576259318509,3.336383772453193,5.944395015176067,0.5,0.25,1.2,10.0
39,1.0,11.578075137048792,11.749545688202051,3.243176694054859,5.944395015176067,0.5,0.25,1.2,10.0
40,1.0,12.328467394420665,12.489640038659779,3.149585633511575,5.944395015176067,0.5,0.25,1.2,10.0
41,1.0,13.12749368925199,13.278971743374967,3.0556454646007274,5.944395015176067,0.5,0.25,1.2,10.0
42,1.0,13.978306065792133,14.120660057835863,2.961386847278579,5.944395015176067,0.5,0.25,1.2,10.0
43,1.0,14.884260856962918,15.018029872726931,2.866836596622881,5.944395015176067,0.5,0.25,1.2,10.0
44,1.0,15.848931924611142,15.974624976848697,2.772018025209853,5.944395015176067,0.5,0.25,1.2,10.0
45,1.0,16.876124757881477,16.994222160592702,2.6769512580746078,5.944395015176067,0.5,0.25,1.2,10.0
46,1.0,17.96989148532595,18.08084621897963,2.581653520218314,5.944395015176067,0.5,0.25,1.2,10.0
47,1.0,19.134546859970413,19.238785916382653,2.486139397219992,5.944395015176067,0.5,0.25,1.2,10.0
48,1.0,20.37468528039708,20.47261097845679,2.390421069928127,5.944395015176067,0.5,0.25,1.2,10.0
49,1.0,21.695198914988655,21.78719018049195,2.294508524484153,5.944395015176067,0.5,0.25,1.2,10.0
50,1.0,23.101297000831604,23.187710605418363,2.1984097390971775,5.944395015176067,0.5,0.25,1.2,10.0
51,1.0,24.59852639341013,24.679698149031214,2.102130849073028,5.944395015176067,0.5,0.25,1.2,10.0
52,1.0,26.192793448156287,26.269039354680995,2.0056762916216386,5.944395015176067,0.5,0.25,1.2,10.0
53,1.0,27.890387320175943,27.96200466471299,1.9090489319420303,5.944395015176067,0.5,0.25,1.2,10.0
54,1.0,29.698004774064515,29.765273181349414,1.8122501720267992,5.944395015176067,0.5,0.25,1.2,10.0
55,1.0,31.62277660168381,31.685959035509736,1.7152800435487392,5.944395015176067,0.5,0.25,1.2,10.0
56,1.0,33.67229575211422,33.7316394682774,1.6181372860988463,5.944395015176067,0.5,0.25,1.2,10.0
57,1.0,35.85464728475101,35.91038473636704,1.5208194119436143,5.944395015176067,0.5,0.25,1.2,10.0
58,1.0,38.17844026370508,38.23078996004787,1.423322758364716,5.944395015176067,0.5,0.25,1.2,10.0
59,1.0,40.65284171932744,40.702009039563265,1.3256425285390412,5.944395015176067,0.5,0.25,1.2,10.0
60,1.0,43.287612810830595,43.33379077417974,1.2277728218140835,5.944395015176067,0.5,0.25,1.2,10.0
61,1.0,46.09314733266291,46.13651732663151,1.129706654134194,5.944395015176067,0.5,0.25,1.2,10.0
62,1.0,49.080512716538585,49.121245184933024,1.0314359692783495,5.944395015176067,0.5,0.25,1.2,10.0
0,2.0,1.0,5.0990195135927845,4.518697621537476,4.5486049848239345,0.5,0.25,1.2,10.0
1,2.0,1.064811486234934,5.11212514530091,4.514782705879886,4.5486049848239345,0.5,0.25,1.2,10.0
2,2.0,1.1338235012178493,5.126944092918695,4.510368020044643,4.5486049848239345,0.5,0.25,1.2,10.0
3,2.0,1.2073082874598748,5.143694518628541,4.505393216934792,4.5486049848239345,0.5,0.25,1.2,10.0
4,2.0,1.2855557319139024,5.162620801478324,4.499791584871813,4.5486049848239345,0.5,0.25,1.2,10.0
5,2.0,1.3688745095370811,5.183996279209736,4.493489619696782,4.5486049848239345,0.5,0.25,1.2,10.0
6,2.0,1.4575933009692958,5.208126172725712,4.486406634464388,4.5486049848239345,0.5,0.25,1.2,10.0
7,2.0,1.5520620891311996,5.235350678657381,4.478454428886782,4.5486049848239345,0.5,0.25,1.2,10.0
8,2.0,1.6526535398566895,5.266048207413301,4.469537045093211,4.5486049848239345,0.5,0.25,1.2,10.0
9,2.0,1.7597644720062264,5.300638734806905,4.459550640679876,4.5486049848239345,0.5,0.25,1.2,10.0
10,2.0,1.873817422860384,5.339587225077902,4.448383514073721,4.5486049848239345,0.5,0.25,1.2,10.0
11,2.0,1.9952623149688797,5.383407072248482,4.435916320434336,4.5486049848239345,0.5,0.25,1.2,10.0
12,2.0,2.124578231030568,5.432663495907783,4.422022518046259,4.5486049848239345,0.5,0.25,1.2,10.0
13,2.0,2.2622753038060464,5.487976817572277,4.406569084669203,4.5486049848239345,0.5,0.25,1.2,10.0
14,2.0,2.4088967285183034,5.550025535857126,4.389417539805561,4.5486049848239345,0.5,0.25,1.2,10.0
15,2.0,2.5650209056800453,5.619549114170609,4.370425301517096,4.5486049848239345,0.5,0.25,1.2,10.0
16,2.0,2.731263722800846,5.697350395007134,4.349447394621447,4.5486049848239345,0.5,0.25,1.2,10.0
17,2.0,2.908280983975128,5.7842975616535615,4.326338510476752,4.5486049848239345,0.5,0.25,1.2,10.0
18,2.0,3.096770996935353,5.8813255825077375,4.300955397266327,4.5486049848239345,0.5,0.25,1.2,10.0
19,2.0,3.2974773277759715,5.989437096021342,4.27315953454594,4.5486049848239345,0.5,0.25,1.2,10.0
20,2.0,3.511191734215132,6.109702725535889,4.242820018430543,4.5486049848239345,0.5,0.25,1.2,10.0
21,2.0,3.73875728896543,6.243260851974082,4.209816556601481,4.5486049848239345,0.5,0.25,1.2,10.0
22,2.0,3.981071705534973,6.391316916302237,4.174042448394923,4.5486049848239345,0.5,0.25,1.2,10.0
23,2.0,4.239090879578539,6.5551423695695545,4.135407407997573,4.5486049848239345,0.5,0.25,1.2,10.0
24,2.0,4.513832659768977,6.736073431933256,4.093840081452075,4.5486049848239345,0.5,0.25,1.2,10.0
25,2.0,4.806380863064391,6.935509858750949,4.04929011319718,4.5486049848239345,0.5,0.25,1.2,10.0
26,2.0,5.11788955021074,7.154913937159293,4.001729636297877,4.5486049848239345,0.5,0.25,1.2,10.0
27,2.0,5.449587578346137,7.395809947129829,3.951154091638125,4.5486049848239345,0.5,0.25,1.2,10.0
28,2.0,5.802783448666185,7.659784314986567,3.897582322552469,4.5486049848239345,0.5,0.25,1.2,10.0
29,2.0,6.178870468273718,7.9484866650014,3.841055938459365,4.5486049848239345,0.5,0.25,1.2,10.0
30,2.0,6.579332246575681,8.26363193824789,3.781637988854154,4.5486049848239345,0.5,0.25,1.2,10.0
31,2.0,7.00574854790968,8.607003701436323,3.7194110322304064,4.5486049848239345,0.5,0.25,1.2,10.0
32,2.0,7.459801523487937,8.980458717116457,3.6544747185948396,4.5486049848239345,0.5,0.25,1.2,10.0
33,2.0,7.943282347242816,9.385932795839704,3.586943026160002,4.5486049848239345,0.5,0.25,1.2,10.0
34,2.0,8.45809828175134,9.825447905503594,3.5169413013223467,4.5486049848239345,0.5,0.25,1.2,10.0
35,2.0,9.006280202112785,10.301120476868947,3.44460324678388,4.5486049848239345,0.5,0.25,1.2,10.0
36,2.0,9.58999060745998,10.815170819324614,3.3700679877787234,4.5486049848239345,0.5,0.25,1.2,10.0
37,2.0,10.211532151708521,11.369933547975418,3.293477323898228,4.5486049848239345,0.5,0.25,1.2,10.0
38,2.0,10.873356727196562,11.967868921277118,3.2149732473833965,4.5486049848239345,0.5,0.25,1.2,10.0
39,2.0,11.578075137048792,12.611574995976808,3.1346957811798433,4.5486049848239345,0.5,0.25,1.2,10.0
40,2.0,12.328467394420665,13.303800520726904,3.052781164146977,4.5486049848239345,0.5,0.25,1.2,10.0
41,2.0,13.12749368925199,14.04745850897417,2.9693603884117024,4.5486049848239345,0.5,0.25,1.2,10.0
42,2.0,13.978306065792133,14.845640453310228,2.884558075978431,4.5486049848239345,0.5,0.25,1.2,10.0
